entity_id,type,amount,fee,tax,net_amount,order_id,payment_id,method,settled_date,settlement_id
pay_y8H6h8l7qgATtL,payment,3401600,68032,12246,3321322,order_1nYCsXoblu17rN,pay_y8H6h8l7qgATtL,card,2026-07-06,setl_smoJpI6uVEST
pay_Ph3FPuRIlPxUkJ,payment,2711200,54224,9760,2647216,order_3lcBGYQ6TmA65M,pay_Ph3FPuRIlPxUkJ,card,2026-07-15,setl_Rf0Nu8834o3Q
pay_uYUPnmbpD0ezNm,payment,4613600,92272,16609,4504719,order_rAJOCBnD3XkfFN,pay_uYUPnmbpD0ezNm,wallet,2026-07-14,setl_Jq5QrHOl0ami
pay_iCGItUBY3A4Bj1,payment,2999500,59990,10798,2928712,order_yjQ312WnXRCI4h,pay_iCGItUBY3A4Bj1,netbanking,2026-07-20,setl_YY5sIJ0PHxTX
pay_nzuCdZyV6b2JD6,payment,2006900,40138,7225,1959537,order_0rWEoBSou3ejxj,pay_nzuCdZyV6b2JD6,wallet,2026-07-10,setl_QeUvgoeLMK8u
pay_H4KPfA1lquCu2r,payment,2812700,56254,10126,2746320,order_HTX3EqEyPXS058,pay_H4KPfA1lquCu2r,netbanking,2026-07-16,setl_pRsZe9ObzxDN
pay_h6CpwL7SWktJ5J,payment,2509600,50192,9035,2450373,order_DUd7ne7cbp0MoD,pay_h6CpwL7SWktJ5J,wallet,2026-07-07,setl_6l4GoMpvXe7C
pay_v0Yg7NZRBT7qYH,payment,3218600,64372,11587,3142641,order_eQMgV0Lh8WvAwF,pay_v0Yg7NZRBT7qYH,wallet,2026-07-09,setl_NWBoIxlKxVsp
pay_vqrK2IGlozIoDS,payment,2987100,59742,10754,2916604,order_ZKtp5rBUJPuEuE,pay_vqrK2IGlozIoDS,card,2026-07-16,setl_pRsZe9ObzxDN
rfnd_sMnijULzIDHPnp,refund,1692049,0,0,-1692049,order_ZKtp5rBUJPuEuE,pay_vqrK2IGlozIoDS,card,2026-07-17,setl_YdaiNejnCdN5
pay_tU6QlTrKVL8Zsw,payment,2030900,40618,7311,1982971,order_szpPwIv9IvCtoS,pay_tU6QlTrKVL8Zsw,card,2026-07-07,setl_6l4GoMpvXe7C
pay_1heEJQjY6fpIzK,payment,4102800,82056,14770,4005974,order_hcds6NUgarDv7p,pay_1heEJQjY6fpIzK,upi,2026-07-21,setl_CTviHl397G0e
pay_IjzQDcrr1eoqXK,payment,1346400,26928,4847,1314625,order_x4sKAJd7gVMqfo,pay_IjzQDcrr1eoqXK,wallet,2026-07-21,setl_CTviHl397G0e
pay_FEecAtpf7ZJ69P,payment,1816200,36324,6538,1773338,order_HO4ZektUJrhQR6,pay_FEecAtpf7ZJ69P,card,2026-07-07,setl_6l4GoMpvXe7C
pay_r6YICtu8zF9OHz,payment,1279300,25586,4605,1249109,order_DO4lKNEfvuP1uR,pay_r6YICtu8zF9OHz,netbanking,2026-07-08,setl_eqxWjywf6BVg
pay_If94ChZESFqZ8p,payment,3662700,73254,13186,3576260,order_UMVmI5BRh8LojI,pay_If94ChZESFqZ8p,upi,2026-07-22,setl_fAIFgfILW1az
rfnd_2fBReIdHFJjuGh,refund,1838294,0,0,-1838294,order_UMVmI5BRh8LojI,pay_If94ChZESFqZ8p,upi,2026-07-23,setl_SVtmtc1TbIKS
pay_O1BEuVx518ox1z,payment,2135200,42704,7687,2084809,order_lLUieV0vWqaTZJ,pay_O1BEuVx518ox1z,wallet,2026-07-15,setl_Rf0Nu8834o3Q
pay_zOjD8uQO001xtS,payment,3247800,64956,11692,3171152,order_xPY8EcFK12BGCS,pay_zOjD8uQO001xtS,card,2026-07-15,setl_Rf0Nu8834o3Q
pay_sxjGJXke1Mo4iC,payment,1714400,34288,6172,1673940,order_eN59UAgN2BR4cX,pay_sxjGJXke1Mo4iC,wallet,2026-07-22,setl_fAIFgfILW1az
pay_0gxwsRbZya1W84,payment,4933500,98670,17761,4817069,order_P3CrHe69s7QCs9,pay_0gxwsRbZya1W84,wallet,2026-07-13,setl_4OaGzbSHrFRA
pay_cwi4uzmW2wFqk4,payment,3207800,64156,11548,3132096,order_WoXnlpUVQigMcW,pay_cwi4uzmW2wFqk4,netbanking,2026-07-14,setl_Jq5QrHOl0ami
pay_wUqxNxPDM6uLON,payment,3092600,61852,11133,3019615,order_XDeUnPPy0Ifyqh,pay_wUqxNxPDM6uLON,netbanking,2026-07-14,setl_Jq5QrHOl0ami
pay_jzgEz6cwB61gQH,payment,4275900,85518,15393,4174989,order_zi6sEg3iCPU6zU,pay_jzgEz6cwB61gQH,netbanking,2026-07-23,setl_SVtmtc1TbIKS
rfnd_KfFYCFCdCYSyYU,refund,1206490,0,0,-1206490,order_zi6sEg3iCPU6zU,pay_jzgEz6cwB61gQH,netbanking,2026-07-24,setl_WSI9pGQkqqjk
pay_Vmn1uj3a1iipkO,payment,218900,4378,788,213734,order_ylh0CPNLbWphJe,pay_Vmn1uj3a1iipkO,upi,2026-07-06,setl_smoJpI6uVEST
pay_MT4OsNb90AgSB3,payment,2160900,43218,7779,2109903,order_wWKaqhAhdBwKCn,pay_MT4OsNb90AgSB3,upi,2026-07-03,setl_rsWw6SEMCiay
pay_1A3zZyTttp7QDf,payment,609400,12188,2194,595018,order_hMKSxLsFAXhO2I,pay_1A3zZyTttp7QDf,card,2026-07-07,setl_6l4GoMpvXe7C
pay_LvJnOng0wVJY08,payment,4124500,82490,14848,4027162,order_fTYIKIuhvPU1S8,pay_LvJnOng0wVJY08,card,2026-07-16,setl_pRsZe9ObzxDN
pay_UnAvwSWJfdjMPq,payment,4388000,87760,15797,4284443,order_5ZqlRtva1JyiNb,pay_UnAvwSWJfdjMPq,wallet,2026-07-22,setl_fAIFgfILW1az
pay_6VVrhEAiHoIPvy,payment,4913000,98260,17687,4797053,order_LznFvgQKGtn9dm,pay_6VVrhEAiHoIPvy,card,2026-07-20,setl_YY5sIJ0PHxTX
pay_f0pKGytvukFhF4,payment,2339600,46792,8423,2284385,order_b51JJRzhbuXMZ5,pay_f0pKGytvukFhF4,netbanking,2026-07-16,setl_pRsZe9ObzxDN
pay_INM1MjeBsrdFtC,payment,422800,8456,1522,412822,order_YojmLVOkVEUVB5,pay_INM1MjeBsrdFtC,netbanking,2026-07-23,setl_SVtmtc1TbIKS
pay_jdg3vSFkpBBGjx,payment,1903900,38078,6854,1858968,order_e11MFCIX3BYOtD,pay_jdg3vSFkpBBGjx,wallet,2026-07-14,setl_Jq5QrHOl0ami
pay_P4tOPhRfINuhR6,payment,4541900,90838,16351,4434711,order_WQdNuuIxp07Ljf,pay_P4tOPhRfINuhR6,card,2026-07-16,setl_pRsZe9ObzxDN
pay_TGP2MLjlQM3Scw,payment,4765800,95316,17157,4653327,order_PFbt6vVl9jsWFH,pay_TGP2MLjlQM3Scw,upi,2026-07-23,setl_SVtmtc1TbIKS
rfnd_cvd95e5bzVV8OA,refund,2055606,0,0,-2055606,order_PFbt6vVl9jsWFH,pay_TGP2MLjlQM3Scw,upi,2026-07-24,setl_WSI9pGQkqqjk
pay_FzkmL2dDx5SFhf,payment,1100600,22012,3962,1074626,order_LUWoo7W4mQJBVW,pay_FzkmL2dDx5SFhf,netbanking,2026-07-17,setl_YdaiNejnCdN5
rfnd_x14xQPHOvlHGTn,refund,657215,0,0,-657215,order_LUWoo7W4mQJBVW,pay_FzkmL2dDx5SFhf,netbanking,2026-07-20,setl_YY5sIJ0PHxTX
pay_50OXirZRiRBaep,payment,1029800,20596,3707,1005497,order_4jB6nBvbdFo9xb,pay_50OXirZRiRBaep,wallet,2026-07-17,setl_YdaiNejnCdN5
rfnd_bsPHGZpvr6SgYz,refund,207391,0,0,-207391,order_4jB6nBvbdFo9xb,pay_50OXirZRiRBaep,wallet,2026-07-20,setl_YY5sIJ0PHxTX
pay_8DliS6cmX2ttyY,payment,3152400,63048,11349,3078003,order_UweoOgKUivuNZQ,pay_8DliS6cmX2ttyY,netbanking,2026-07-13,setl_4OaGzbSHrFRA
pay_E5GXTeLYHteOtL,payment,2842500,56850,10233,2775417,order_UlwW1uhw3U3x8E,pay_E5GXTeLYHteOtL,upi,2026-07-06,setl_smoJpI6uVEST
pay_iLWceWwxJLQ6xV,payment,3811200,76224,13720,3721256,order_vc1v9r86eNwXQ7,pay_iLWceWwxJLQ6xV,upi,2026-07-17,setl_YdaiNejnCdN5
rfnd_2amgcLRdTyon1d,refund,1930073,0,0,-1930073,order_vc1v9r86eNwXQ7,pay_iLWceWwxJLQ6xV,upi,2026-07-20,setl_YY5sIJ0PHxTX
pay_9miekS9Y79PRIs,payment,2015700,40314,7257,1968129,order_wtr7blG4hWRnLR,pay_9miekS9Y79PRIs,upi,2026-07-21,setl_CTviHl397G0e
pay_ySDzzJhteCGhZI,payment,3902100,78042,14048,3810010,order_kwn9XoEwJC8i2e,pay_ySDzzJhteCGhZI,upi,2026-07-23,setl_SVtmtc1TbIKS
pay_IhsHFk6jOSL0IZ,payment,235900,4718,849,230333,order_A4dhjkuRv630pN,pay_IhsHFk6jOSL0IZ,card,2026-07-07,setl_6l4GoMpvXe7C
pay_CQjzCvi1t9vyVF,payment,745800,14916,2685,728199,order_6VqnJMb3HNspYz,pay_CQjzCvi1t9vyVF,netbanking,2026-07-06,setl_smoJpI6uVEST
pay_EFEtb6F7nvdE2O,payment,3134000,62680,11282,3060038,order_CqpgrxMp1juJtV,pay_EFEtb6F7nvdE2O,netbanking,2026-07-10,setl_QeUvgoeLMK8u
pay_ZMLhfx9IwiLycc,payment,4726500,94530,17015,4614955,order_agiqwzcdIwrxBI,pay_ZMLhfx9IwiLycc,netbanking,2026-07-21,setl_CTviHl397G0e
pay_Dbugzt32NLqO8J,payment,1541200,30824,5548,1504828,order_Gj3i5tyM0KFFEI,pay_Dbugzt32NLqO8J,card,2026-07-20,setl_YY5sIJ0PHxTX
rfnd_rYTtLPtsiOnsd6,refund,618882,0,0,-618882,order_Gj3i5tyM0KFFEI,pay_Dbugzt32NLqO8J,card,2026-07-21,setl_CTviHl397G0e
pay_FLD0TRGI9Dx7CH,payment,3630000,72600,13068,3544332,order_DGSWxYpJRlBzzm,pay_FLD0TRGI9Dx7CH,netbanking,2026-07-21,setl_CTviHl397G0e
rfnd_4MAE86PWtzjxUD,refund,2003345,0,0,-2003345,order_DGSWxYpJRlBzzm,pay_FLD0TRGI9Dx7CH,netbanking,2026-07-22,setl_fAIFgfILW1az
pay_5SrJH3yvVjc7e5,payment,4348900,86978,15656,4246266,order_XqE7rs68VRQEDI,pay_5SrJH3yvVjc7e5,netbanking,2026-07-23,setl_SVtmtc1TbIKS
pay_DQi78jO2DOUrrd,payment,636200,12724,2290,621186,order_nZqIqgTod4nogu,pay_DQi78jO2DOUrrd,upi,2026-07-20,setl_YY5sIJ0PHxTX
pay_csL5uCNG3iFqYu,payment,4841400,96828,17429,4727143,order_T0c5zZ5cZWlU2r,pay_csL5uCNG3iFqYu,wallet,2026-07-21,setl_CTviHl397G0e
pay_iupqoU7sSaOQdh,payment,2060600,41212,7418,2011970,order_plTXJUk13ZFfPl,pay_iupqoU7sSaOQdh,upi,2026-07-23,setl_SVtmtc1TbIKS
adj_1iCdzzGypueBxH,adjustment,266300,0,0,266300,,,,2026-07-10,setl_QeUvgoeLMK8u
adj_qPL2lVSID1u7a6,adjustment,62200,0,0,62200,,,,2026-07-09,setl_NWBoIxlKxVsp
adj_4RRyotrCOtw2CX,adjustment,412300,0,0,412300,,,,2026-07-06,setl_smoJpI6uVEST
