order_id,candidate_entity_id,amount_a,amount_b,amount_diff,amount_diff_pct,date_diff_days,method_match,desc_similarity,label
order_DO4lKNEfvuP1uR,pay_r6YICtu8zF9OHz,1279300,1249109,30191,0.0236,2,1,0.218,1
order_DO4lKNEfvuP1uR,pay_FEecAtpf7ZJ69P,1279300,1773338,494038,0.3862,1,0,0.291,0
order_UMVmI5BRh8LojI,pay_If94ChZESFqZ8p,3662700,3576260,86440,0.0236,2,1,0.208,1
order_UMVmI5BRh8LojI,pay_ZMLhfx9IwiLycc,3662700,4614955,952255,0.26,1,0,0.208,0
order_UMVmI5BRh8LojI,pay_Y8HhO6kGL75UQS,3662700,2601911,1060789,0.2896,1,0,0.208,0
order_UMVmI5BRh8LojI,pay_q522wjZRL9OaYs,3662700,4293719,631019,0.1723,7,0,0.208,0
order_lLUieV0vWqaTZJ,pay_O1BEuVx518ox1z,2135200,2084809,50391,0.0236,2,1,0.157,1
order_lLUieV0vWqaTZJ,pay_f0pKGytvukFhF4,2135200,2284385,149185,0.0699,3,0,0.157,0
order_lLUieV0vWqaTZJ,pay_H4KPfA1lquCu2r,2135200,2746320,611120,0.2862,3,0,0.196,0
order_lLUieV0vWqaTZJ,pay_nzuCdZyV6b2JD6,2135200,1959537,175663,0.0823,3,1,0.157,0
order_xPY8EcFK12BGCS,pay_zOjD8uQO001xtS,3247800,3171152,76648,0.0236,2,1,0.245,1
order_xPY8EcFK12BGCS,pay_f0pKGytvukFhF4,3247800,2284385,963415,0.2966,3,0,0.163,0
order_xPY8EcFK12BGCS,pay_cwi4uzmW2wFqk4,3247800,3132096,115704,0.0356,1,0,0.204,0
order_xPY8EcFK12BGCS,pay_iCGItUBY3A4Bj1,3247800,2928712,319088,0.0982,7,0,0.204,0
order_eN59UAgN2BR4cX,pay_sxjGJXke1Mo4iC,1714400,1673940,40460,0.0236,2,1,0.157,1
order_eN59UAgN2BR4cX,pay_9miekS9Y79PRIs,1714400,1968129,253729,0.148,1,0,0.157,0
order_eN59UAgN2BR4cX,pay_f0pKGytvukFhF4,1714400,2284385,569985,0.3325,4,0,0.157,0
order_eN59UAgN2BR4cX,pay_RABr1VjArnVgxw,1714400,2249723,535323,0.3123,3,0,0.157,0
order_P3CrHe69s7QCs9,pay_0gxwsRbZya1W84,4933500,4817069,116431,0.0236,4,1,0.157,1
order_P3CrHe69s7QCs9,pay_q522wjZRL9OaYs,4933500,4293719,639781,0.1297,4,0,0.157,0
order_P3CrHe69s7QCs9,pay_EFEtb6F7nvdE2O,4933500,3060038,1873462,0.3797,1,0,0.157,0
order_P3CrHe69s7QCs9,pay_wUqxNxPDM6uLON,4933500,3019615,1913885,0.3879,5,0,0.157,0
order_WoXnlpUVQigMcW,pay_cwi4uzmW2wFqk4,3207800,3132096,75704,0.0236,4,1,0.255,1
order_WoXnlpUVQigMcW,pay_LvJnOng0wVJY08,3207800,4027162,819362,0.2554,6,0,0.255,0
order_WoXnlpUVQigMcW,pay_P4tOPhRfINuhR6,3207800,4434711,1226911,0.3825,6,0,0.255,0
order_WoXnlpUVQigMcW,pay_ogrNwwmq6OLkTk,3207800,2476834,730966,0.2279,4,1,0.218,0
order_XDeUnPPy0Ifyqh,pay_wUqxNxPDM6uLON,3092600,3019615,72985,0.0236,3,1,0.218,1
order_XDeUnPPy0Ifyqh,pay_Ph3FPuRIlPxUkJ,3092600,2647216,445384,0.144,4,0,0.255,0
order_XDeUnPPy0Ifyqh,pay_9Z850kEnydx9qW,3092600,2960347,132253,0.0428,5,1,0.255,0
order_XDeUnPPy0Ifyqh,pay_cwi4uzmW2wFqk4,3092600,3132096,39496,0.0128,3,1,0.291,0
order_zi6sEg3iCPU6zU,pay_jzgEz6cwB61gQH,4275900,4174989,100911,0.0236,2,1,0.291,1
order_zi6sEg3iCPU6zU,pay_1heEJQjY6fpIzK,4275900,4005974,269926,0.0631,0,0,0.327,0
order_zi6sEg3iCPU6zU,pay_FLD0TRGI9Dx7CH,4275900,3544332,731568,0.1711,0,1,0.291,0
order_zi6sEg3iCPU6zU,pay_zOjD8uQO001xtS,4275900,3171152,1104748,0.2584,6,0,0.255,0
order_ylh0CPNLbWphJe,pay_Vmn1uj3a1iipkO,218900,213734,5166,0.0236,4,1,0.25,1
order_ylh0CPNLbWphJe,pay_IhsHFk6jOSL0IZ,218900,230333,11433,0.0522,5,0,0.25,0
order_wWKaqhAhdBwKCn,pay_MT4OsNb90AgSB3,2160900,2109903,50997,0.0236,2,1,0.292,1
order_wWKaqhAhdBwKCn,pay_E5GXTeLYHteOtL,2160900,2775417,614517,0.2844,5,1,0.208,0
order_wWKaqhAhdBwKCn,pay_tU6QlTrKVL8Zsw,2160900,1982971,177929,0.0823,6,0,0.292,0
order_wWKaqhAhdBwKCn,pay_Zcui8kBRIg6Qjc,2160900,2411317,250417,0.1159,6,1,0.25,0
order_hMKSxLsFAXhO2I,pay_1A3zZyTttp7QDf,609400,595018,14382,0.0236,4,1,0.163,1
order_hMKSxLsFAXhO2I,pay_CQjzCvi1t9vyVF,609400,728199,118799,0.1949,3,0,0.163,0
order_fTYIKIuhvPU1S8,pay_LvJnOng0wVJY08,4124500,4027162,97338,0.0236,2,1,0.204,1
order_fTYIKIuhvPU1S8,pay_vqrK2IGlozIoDS,4124500,2916604,1207896,0.2929,2,1,0.204,0
order_fTYIKIuhvPU1S8,pay_P4tOPhRfINuhR6,4124500,4434711,310211,0.0752,2,1,0.163,0
order_fTYIKIuhvPU1S8,pay_Ph3FPuRIlPxUkJ,4124500,2647216,1477284,0.3582,1,1,0.245,0
order_5ZqlRtva1JyiNb,pay_UnAvwSWJfdjMPq,4388000,4284443,103557,0.0236,2,1,0.157,1
order_5ZqlRtva1JyiNb,pay_vqrK2IGlozIoDS,4388000,2916604,1471396,0.3353,4,0,0.157,0
order_5ZqlRtva1JyiNb,pay_8DliS6cmX2ttyY,4388000,3078003,1309997,0.2985,7,0,0.157,0
order_5ZqlRtva1JyiNb,pay_zOjD8uQO001xtS,4388000,3171152,1216848,0.2773,5,0,0.157,0
order_LznFvgQKGtn9dm,pay_6VVrhEAiHoIPvy,4913000,4797053,115947,0.0236,4,1,0.204,1
order_LznFvgQKGtn9dm,pay_5SrJH3yvVjc7e5,4913000,4246266,666734,0.1357,7,0,0.204,0
order_LznFvgQKGtn9dm,pay_jzgEz6cwB61gQH,4913000,4174989,738011,0.1502,7,0,0.204,0
order_LznFvgQKGtn9dm,pay_TGP2MLjlQM3Scw,4913000,4653327,259673,0.0529,7,0,0.204,0
order_b51JJRzhbuXMZ5,pay_f0pKGytvukFhF4,2339600,2284385,55215,0.0236,2,1,0.291,1
order_b51JJRzhbuXMZ5,pay_FEecAtpf7ZJ69P,2339600,1773338,566262,0.242,7,0,0.291,0
order_b51JJRzhbuXMZ5,pay_9miekS9Y79PRIs,2339600,1968129,371471,0.1588,7,0,0.255,0
order_b51JJRzhbuXMZ5,pay_v0Yg7NZRBT7qYH,2339600,3142641,803041,0.3432,5,0,0.255,0
order_YojmLVOkVEUVB5,pay_INM1MjeBsrdFtC,422800,412822,9978,0.0236,2,1,0.255,1
order_YojmLVOkVEUVB5,pay_rEHS2JpDzfOvz1,422800,395442,27358,0.0647,4,0,0.255,0
order_e11MFCIX3BYOtD,pay_jdg3vSFkpBBGjx,1903900,1858968,44932,0.0236,4,1,0.196,1
order_e11MFCIX3BYOtD,pay_tU6QlTrKVL8Zsw,1903900,1982971,79071,0.0415,3,0,0.196,0
order_e11MFCIX3BYOtD,pay_r6YICtu8zF9OHz,1903900,1249109,654791,0.3439,2,0,0.196,0
order_e11MFCIX3BYOtD,pay_MT4OsNb90AgSB3,1903900,2109903,206003,0.1082,7,0,0.196,0
order_WQdNuuIxp07Ljf,pay_P4tOPhRfINuhR6,4541900,4434711,107189,0.0236,2,1,0.163,1
order_WQdNuuIxp07Ljf,pay_0gxwsRbZya1W84,4541900,4817069,275169,0.0606,1,0,0.163,0
order_WQdNuuIxp07Ljf,pay_FLD0TRGI9Dx7CH,4541900,3544332,997568,0.2196,7,0,0.163,0
order_WQdNuuIxp07Ljf,pay_LvJnOng0wVJY08,4541900,4027162,514738,0.1133,2,1,0.163,0
order_PFbt6vVl9jsWFH,pay_TGP2MLjlQM3Scw,4765800,4653327,112473,0.0236,2,1,0.208,1
order_PFbt6vVl9jsWFH,pay_zOjD8uQO001xtS,4765800,3171152,1594648,0.3346,6,0,0.208,0
order_PFbt6vVl9jsWFH,pay_wUqxNxPDM6uLON,4765800,3019615,1746185,0.3664,7,0,0.208,0
order_PFbt6vVl9jsWFH,pay_vqrK2IGlozIoDS,4765800,2916604,1849196,0.388,5,0,0.208,0
order_LUWoo7W4mQJBVW,pay_FzkmL2dDx5SFhf,1100600,1074626,25974,0.0236,2,1,0.255,1
order_LUWoo7W4mQJBVW,pay_50OXirZRiRBaep,1100600,1005497,95103,0.0864,2,0,0.327,0
order_LUWoo7W4mQJBVW,pay_r6YICtu8zF9OHz,1100600,1249109,148509,0.1349,7,1,0.218,0
order_LUWoo7W4mQJBVW,pay_IjzQDcrr1eoqXK,1100600,1314625,214025,0.1945,6,0,0.255,0
order_4jB6nBvbdFo9xb,pay_50OXirZRiRBaep,1029800,1005497,24303,0.0236,2,1,0.157,1
order_4jB6nBvbdFo9xb,pay_518Y2bTu5X1YqW,1029800,740502,289298,0.2809,1,1,0.157,0
order_4jB6nBvbdFo9xb,pay_DQi78jO2DOUrrd,1029800,621186,408614,0.3968,5,0,0.235,0
order_4jB6nBvbdFo9xb,pay_IjzQDcrr1eoqXK,1029800,1314625,284825,0.2766,6,1,0.157,0
order_UweoOgKUivuNZQ,pay_8DliS6cmX2ttyY,3152400,3078003,74397,0.0236,4,1,0.255,1
order_UweoOgKUivuNZQ,pay_Zcui8kBRIg6Qjc,3152400,2411317,741083,0.2351,2,0,0.291,0
order_UweoOgKUivuNZQ,pay_y8H6h8l7qgATtL,3152400,3321322,168922,0.0536,3,0,0.255,0
order_UweoOgKUivuNZQ,pay_H4KPfA1lquCu2r,3152400,2746320,406080,0.1288,7,1,0.218,0
order_UlwW1uhw3U3x8E,pay_E5GXTeLYHteOtL,2842500,2775417,67083,0.0236,4,1,0.208,1
order_UlwW1uhw3U3x8E,pay_tU6QlTrKVL8Zsw,2842500,1982971,859529,0.3024,5,0,0.25,0
order_UlwW1uhw3U3x8E,pay_y8H6h8l7qgATtL,2842500,3321322,478822,0.1685,4,0,0.208,0
order_UlwW1uhw3U3x8E,pay_9Z850kEnydx9qW,2842500,2960347,117847,0.0415,4,0,0.208,0
order_vc1v9r86eNwXQ7,pay_iLWceWwxJLQ6xV,3811200,3721256,89944,0.0236,2,1,0.25,1
order_vc1v9r86eNwXQ7,pay_cwi4uzmW2wFqk4,3811200,3132096,679104,0.1782,1,0,0.25,0
order_vc1v9r86eNwXQ7,pay_6VVrhEAiHoIPvy,3811200,4797053,985853,0.2587,5,0,0.25,0
order_vc1v9r86eNwXQ7,pay_Y8HhO6kGL75UQS,3811200,2601911,1209289,0.3173,6,0,0.25,0
order_wtr7blG4hWRnLR,pay_9miekS9Y79PRIs,2015700,1968129,47571,0.0236,4,1,0.292,1
order_wtr7blG4hWRnLR,pay_Dbugzt32NLqO8J,2015700,1504828,510872,0.2534,3,0,0.208,0
order_wtr7blG4hWRnLR,pay_jdg3vSFkpBBGjx,2015700,1858968,156732,0.0778,3,0,0.25,0
order_wtr7blG4hWRnLR,pay_Ph3FPuRIlPxUkJ,2015700,2647216,631516,0.3133,2,0,0.25,0
order_kwn9XoEwJC8i2e,pay_ySDzzJhteCGhZI,3902100,3810010,92090,0.0236,2,1,0.292,1
order_kwn9XoEwJC8i2e,pay_zOjD8uQO001xtS,3902100,3171152,730948,0.1873,6,0,0.25,0
order_kwn9XoEwJC8i2e,pay_TGP2MLjlQM3Scw,3902100,4653327,751227,0.1925,2,1,0.25,0
order_kwn9XoEwJC8i2e,pay_ZMLhfx9IwiLycc,3902100,4614955,712855,0.1827,0,0,0.292,0
order_A4dhjkuRv630pN,pay_IhsHFk6jOSL0IZ,235900,230333,5567,0.0236,2,1,0.204,1
order_A4dhjkuRv630pN,pay_Vmn1uj3a1iipkO,235900,213734,22166,0.094,1,0,0.204,0
order_6VqnJMb3HNspYz,pay_CQjzCvi1t9vyVF,745800,728199,17601,0.0236,4,1,0.291,1
order_6VqnJMb3HNspYz,pay_1A3zZyTttp7QDf,745800,595018,150782,0.2022,5,0,0.291,0
order_CqpgrxMp1juJtV,pay_EFEtb6F7nvdE2O,3134000,3060038,73962,0.0236,2,1,0.218,1
order_CqpgrxMp1juJtV,pay_zOjD8uQO001xtS,3134000,3171152,37152,0.0119,7,0,0.327,0
order_CqpgrxMp1juJtV,pay_MT4OsNb90AgSB3,3134000,2109903,1024097,0.3268,5,0,0.255,0
order_CqpgrxMp1juJtV,pay_h6CpwL7SWktJ5J,3134000,2450373,683627,0.2181,1,0,0.291,0
order_agiqwzcdIwrxBI,pay_ZMLhfx9IwiLycc,4726500,4614955,111545,0.0236,3,1,0.327,1
order_agiqwzcdIwrxBI,pay_UnAvwSWJfdjMPq,4726500,4284443,442057,0.0935,4,0,0.218,0
order_agiqwzcdIwrxBI,pay_uYUPnmbpD0ezNm,4726500,4504719,221781,0.0469,4,0,0.255,0
order_agiqwzcdIwrxBI,pay_ySDzzJhteCGhZI,4726500,3810010,916490,0.1939,5,0,0.291,0
order_Gj3i5tyM0KFFEI,pay_Dbugzt32NLqO8J,1541200,1504828,36372,0.0236,4,1,0.163,1
order_Gj3i5tyM0KFFEI,pay_9miekS9Y79PRIs,1541200,1968129,426929,0.277,5,0,0.204,0
order_Gj3i5tyM0KFFEI,pay_IjzQDcrr1eoqXK,1541200,1314625,226575,0.147,5,0,0.204,0
order_Gj3i5tyM0KFFEI,pay_sxjGJXke1Mo4iC,1541200,1673940,132740,0.0861,6,0,0.163,0
order_DGSWxYpJRlBzzm,pay_FLD0TRGI9Dx7CH,3630000,3544332,85668,0.0236,2,1,0.255,1
order_DGSWxYpJRlBzzm,pay_Ph3FPuRIlPxUkJ,3630000,2647216,982784,0.2707,4,0,0.291,0
order_DGSWxYpJRlBzzm,pay_wUqxNxPDM6uLON,3630000,3019615,610385,0.1682,5,1,0.218,0
order_DGSWxYpJRlBzzm,pay_cwi4uzmW2wFqk4,3630000,3132096,497904,0.1372,5,1,0.255,0
order_XqE7rs68VRQEDI,pay_5SrJH3yvVjc7e5,4348900,4246266,102634,0.0236,2,1,0.291,1
order_XqE7rs68VRQEDI,pay_iCGItUBY3A4Bj1,4348900,2928712,1420188,0.3266,1,1,0.255,0
order_XqE7rs68VRQEDI,pay_Ph3FPuRIlPxUkJ,4348900,2647216,1701684,0.3913,6,0,0.255,0
order_XqE7rs68VRQEDI,pay_ZMLhfx9IwiLycc,4348900,4614955,266055,0.0612,0,1,0.291,0
order_nZqIqgTod4nogu,pay_DQi78jO2DOUrrd,636200,621186,15014,0.0236,4,1,0.292,1
order_nZqIqgTod4nogu,pay_518Y2bTu5X1YqW,636200,740502,104302,0.1639,0,0,0.208,0
order_nZqIqgTod4nogu,pay_rEHS2JpDzfOvz1,636200,395442,240758,0.3784,1,0,0.208,0
order_nZqIqgTod4nogu,pay_2NiiUHUAKw9iEU,636200,750363,114163,0.1794,7,1,0.208,0
order_T0c5zZ5cZWlU2r,pay_csL5uCNG3iFqYu,4841400,4727143,114257,0.0236,3,1,0.157,1
order_T0c5zZ5cZWlU2r,pay_uYUPnmbpD0ezNm,4841400,4504719,336681,0.0695,4,1,0.157,0
order_T0c5zZ5cZWlU2r,pay_TGP2MLjlQM3Scw,4841400,4653327,188073,0.0388,5,0,0.157,0
order_T0c5zZ5cZWlU2r,pay_ySDzzJhteCGhZI,4841400,3810010,1031390,0.213,5,0,0.157,0
order_plTXJUk13ZFfPl,pay_iupqoU7sSaOQdh,2060600,2011970,48630,0.0236,2,1,0.25,1
order_plTXJUk13ZFfPl,pay_jdg3vSFkpBBGjx,2060600,1858968,201632,0.0979,7,0,0.208,0
order_plTXJUk13ZFfPl,pay_IjzQDcrr1eoqXK,2060600,1314625,745975,0.362,0,0,0.208,0
order_plTXJUk13ZFfPl,pay_Dbugzt32NLqO8J,2060600,1504828,555772,0.2697,1,0,0.208,0
